,ts_code,end_date,symbol,mkv,amount,stk_mkv_ratio
147,510300.SH,20181231,600115.SH,67270963.0,14162308.0,0.2
148,510300.SH,20181231,601607.SH,66927521.0,3936913.0,0.2
149,510300.SH,20181231,000963.SZ,66882412.8,2527680.0,0.2
150,510300.SH,20181231,002714.SZ,66846625.0,2325100.0,0.2
151,510300.SH,20181231,600177.SH,64963476.26,9035254.0,0.2
152,510300.SH,20181231,000768.SZ,64772105.72,4892153.0,0.19
153,510300.SH,20181231,002456.SZ,64592291.79,7028541.0,0.19
154,510300.SH,20181231,600535.SH,63874924.8,3326819.0,0.19
155,510300.SH,20181231,300122.SZ,63539268.0,1639300.0,0.19
156,510300.SH,20181231,002311.SZ,62782891.71,2709663.0,0.19
157,510300.SH,20181231,000423.SZ,62300109.2,1575224.0,0.19
158,510300.SH,20181231,601788.SH,62115226.38,7082694.0,0.19
159,510300.SH,20181231,601727.SH,62041074.68,12558922.0,0.19
160,510300.SH,20181231,300408.SZ,61866288.0,3656400.0,0.19
161,510300.SH,20181231,600068.SH,61689147.12,9760941.0,0.19
162,510300.SH,20181231,002422.SZ,61615470.0,2983800.0,0.19
163,510300.SH,20181231,600516.SH,61598073.0,3686300.0,0.19
164,510300.SH,20181231,000413.SZ,61584097.5,13685355.0,0.19
165,510300.SH,20181231,601998.SH,59516218.15,10920407.0,0.18
166,510300.SH,20181231,600438.SH,58636476.0,7081700.0,0.18
167,510300.SH,20181231,600109.SH,58349718.32,8149402.0,0.18
168,510300.SH,20181231,002460.SZ,58094886.72,2631109.0,0.17
169,510300.SH,20181231,300136.SZ,57577035.7,2664370.0,0.17
170,510300.SH,20181231,601555.SH,57177176.9,8533907.0,0.17
171,510300.SH,20181231,000157.SZ,57061976.2,16028645.0,0.17
172,510300.SH,20181231,600018.SH,56736757.56,10953042.0,0.17
173,510300.SH,20181231,600085.SH,56656792.5,2060247.0,0.17
174,510300.SH,20181231,600066.SH,55982741.7,4724282.0,0.17
175,510300.SH,20181231,601919.SH,54973633.4,13607335.0,0.17
176,510300.SH,20181231,002450.SZ,54550585.56,7140129.0,0.16
177,510300.SH,20181231,300070.SZ,54477945.6,6984352.0,0.16
178,510300.SH,20181231,600674.SH,54294167.01,6262303.0,0.16
179,510300.SH,20181231,000425.SZ,54137429.22,16760814.0,0.16
180,510300.SH,20181231,600926.SH,53993004.8,7296352.0,0.16
181,510300.SH,20181231,000876.SZ,53825488.08,7393611.0,0.16
182,510300.SH,20181231,300144.SZ,53577419.35,2509481.0,0.16
183,510300.SH,20181231,600027.SH,53503050.0,11263800.0,0.16
184,510300.SH,20181231,603799.SH,53253810.62,1768642.0,0.16
185,510300.SH,20181231,600219.SH,53043838.6,25139260.0,0.16
186,510300.SH,20181231,600489.SH,52331959.68,6099296.0,0.16
187,510300.SH,20181231,601997.SH,52023839.28,4871146.0,0.16
188,510300.SH,20181231,600398.SH,51922192.0,6122900.0,0.16
189,510300.SH,20181231,002352.SZ,51145675.0,1561700.0,0.15
190,510300.SH,20181231,000728.SZ,50317319.3,7208785.0,0.15
191,510300.SH,20181231,300024.SZ,49829326.36,3769238.0,0.15
192,510300.SH,20181231,002146.SZ,48747253.5,6131730.0,0.15
193,510300.SH,20181231,002241.SZ,48700286.4,7078530.0,0.15
194,510300.SH,20181231,600362.SH,48235203.24,3665289.0,0.15
195,510300.SH,20181231,000703.SZ,48134016.0,4178300.0,0.14
196,510300.SH,20181231,600170.SH,48048921.9,15857730.0,0.14
197,510300.SH,20181231,600739.SH,48027320.12,4591522.0,0.14
198,510300.SH,20181231,002065.SZ,47911541.65,6893747.0,0.14
199,510300.SH,20181231,002081.SZ,47482799.4,5862074.0,0.14
200,510300.SH,20181231,601018.SH,47321701.16,14168174.0,0.14
201,510300.SH,20181231,002673.SZ,47195603.91,6153273.0,0.14
202,510300.SH,20181231,002493.SZ,47157128.5,4673650.0,0.14
203,510300.SH,20181231,000625.SZ,46696707.05,7085995.0,0.14
204,510300.SH,20181231,601198.SH,46588442.08,4873268.0,0.14
205,510300.SH,20181231,002050.SZ,45658620.0,3598000.0,0.14
206,510300.SH,20181231,601138.SH,45176661.0,3897900.0,0.14
207,510300.SH,20181231,600208.SH,44836444.7,15460843.0,0.13
208,510300.SH,20181231,000630.SZ,44588985.91,22634003.0,0.13
209,510300.SH,20181231,002179.SZ,44297620.0,1315250.0,0.13
210,510300.SH,20181231,002001.SZ,43354884.0,2888400.0,0.13
211,510300.SH,20181231,000709.SZ,43067256.68,15164527.0,0.13
212,510300.SH,20181231,002558.SZ,42555115.2,2196960.0,0.13
213,510300.SH,20181231,600038.SH,41905441.76,1121666.0,0.13
214,510300.SH,20181231,000786.SZ,41611616.0,3024100.0,0.13
215,510300.SH,20181231,601992.SH,41519828.0,11862808.0,0.12
216,510300.SH,20181231,300072.SZ,41224453.68,4189477.0,0.12
217,510300.SH,20181231,600153.SH,40968663.9,5811158.0,0.12
218,510300.SH,20181231,002271.SZ,40363855.0,3116900.0,0.12
219,510300.SH,20181231,600583.SH,40053888.7,8174263.0,0.12
220,510300.SH,20181231,002797.SZ,40007621.6,7381480.0,0.12
221,510300.SH,20181231,000503.SZ,39636067.12,2495974.0,0.12
