,ts_code,end_date,bz_item,bz_sales,bz_profit,bz_cost,curr_type
181,000009.SZ,20161231,其他主营业务,285337207.67,18867696.96,266469510.71,CNY
182,000009.SZ,20161231,其他业务,37756896.86,,,CNY
183,000009.SZ,20170630,高新技术,1587840690.93,478177501.83,1109663189.1,CNY
184,000009.SZ,20170630,医药,840391426.27,451440489.07,388950937.2,CNY
185,000009.SZ,20170630,房地产,329734250.17,68275760.77,261458489.4,CNY
186,000009.SZ,20170630,其他主营业务,132705343.78,7223662.9,125481680.88,CNY
187,000009.SZ,20170630,其他业务,66947557.36,35897394.57,31050162.79,CNY
188,000009.SZ,20171231,其他业务,47291178.94,,,CNY
189,000009.SZ,20171231,高新技术,4218764134.09,1218372673.95,3000391460.14,CNY
190,000009.SZ,20171231,医药,1889368644.31,968310338.58,921058305.73,CNY
191,000009.SZ,20171231,房地产,586744388.34,171926291.53,414818096.81,CNY
192,000009.SZ,20171231,其他主营业务,328634050.52,9374011.23,319260039.29,CNY
193,000009.SZ,20180630,高新技术,2312981631.76,621824869.3,1691156762.46,CNY
194,000009.SZ,20180630,医药,1191347880.04,568800278.23,622547601.81,CNY
195,000009.SZ,20180630,房地产,642133594.62,326253471.8,315880122.82,CNY
196,000009.SZ,20180630,其他主营业务,117106893.89,8562428.01,108544465.88,CNY
197,000009.SZ,20180630,其他业务,100766430.34,53243676.43,47522753.91,CNY
198,000027.SZ,20151231,电力,10048502263.39,2703303751.47,7345198511.92,CNY
199,000027.SZ,20151231,其他,702780419.56,478474993.3,224305426.26,CNY
200,000027.SZ,20151231,运输业务,40901167.76,10047810.37,30853357.39,CNY
201,000027.SZ,20151231,蒸汽,54607116.02,41784406.54,12822709.48,CNY
202,000027.SZ,20151231,燃气,283191998.01,99608989.07,183583008.94,CNY
203,000027.SZ,20160630,其他业务,167614745.41,135852078.74,31762666.67,CNY
204,000027.SZ,20160630,电力,4553073051.31,1355482698.53,3197590352.78,CNY
205,000027.SZ,20160630,其他,113211252.72,55923937.64,57287315.08,CNY
206,000027.SZ,20160630,燃气,146782032.71,57361811.5,89420221.21,CNY
207,000027.SZ,20160630,运输业务,23497329.31,5282827.32,18214501.99,CNY
208,000027.SZ,20160630,蒸汽,25694978.89,19010572.74,6684406.15,CNY
209,000027.SZ,20161231,电力,10208055216.58,2641448180.71,7566607035.87,CNY
210,000027.SZ,20161231,燃气,379343365.18,128828067.52,250515297.66,CNY
211,000027.SZ,20161231,蒸汽,53895058.41,42486407.6,11408650.81,CNY
212,000027.SZ,20161231,运输业务,17211120.78,3116146.23,14094974.55,CNY
213,000027.SZ,20161231,其他,659607419.45,458658429.79,200948989.66,CNY
214,000027.SZ,20170630,电力,5557042906.92,1178907078.24,4378135828.68,CNY
215,000027.SZ,20170630,蒸汽,28966146.08,21377219.3,7588926.78,CNY
216,000027.SZ,20170630,燃气,242288838.59,64451776.59,177837062.0,CNY
217,000027.SZ,20170630,运输业务,10754767.39,3149319.67,7605447.72,CNY
218,000027.SZ,20170630,其他主营业务,157194044.07,98269163.8,58924880.27,CNY
219,000027.SZ,20170630,其他业务,177971258.71,132391407.38,45579851.33,CNY
220,000027.SZ,20171231,其他主营业务,2175876758.05,1573576921.88,602299836.17,CNY
221,000027.SZ,20171231,运输业务,12229749.44,-4662469.26,16892218.7,CNY
222,000027.SZ,20171231,蒸汽,61160354.15,50186683.89,10973670.26,CNY
223,000027.SZ,20171231,燃气,504512196.84,138134656.83,366377540.01,CNY
224,000027.SZ,20171231,电力,12792075807.57,2514428922.81,10277646884.76,CNY
225,000027.SZ,20171231,蒸汽,61160354.15,44268135.45,16892218.7,CNY
226,000027.SZ,20171231,运输业务,12229749.44,1256079.18,10973670.26,CNY
227,000027.SZ,20180630,其他业务,209130894.17,157972550.47,51158343.7,CNY
